N,seed,rho,f_elongated,s_max_norm,s_max_norm_2,classification,status
1000,971536625474344,0.7,0.6888571428571431,0.0435285714285714,0.0478142857142857,0,unjammed
1000,799035771825238,0.7,0.6675999999999999,0.0649571428571428,0.0682714285714285,0,unjammed
1000,1114806189928891,0.7,0.6610285714285714,0.0728857142857142,0.0777428571428571,0,unjammed
1000,216465895742590,0.7,0.585842857142857,0.0840714285714285,0.0938714285714285,0,unjammed
1000,926435018171726,0.7,0.4963142857142859,0.1315428571428571,0.1527571428571428,0,unjammed
1000,744517311885370,0.7,0.6638999999999999,0.0717285714285714,0.0753571428571428,0,unjammed
1000,812580382463326,0.7,0.631742857142857,0.0797428571428571,0.0867714285714285,0,unjammed
1000,521742092743191,0.7,0.6002857142857142,0.0832428571428571,0.0908142857142857,0,unjammed
1000,1008612444973162,0.7,0.6122857142857142,0.0820857142857142,0.0889857142857142,0,unjammed
1000,121838283310165,0.7,0.6113999999999999,0.0771857142857142,0.0809714285714285,0,unjammed
1000,431006493426170,0.7,0.5594142857142858,0.1430571428571428,0.1552857142857142,0,unjammed
1000,765322069857382,0.7,0.7462428571428572,0.0423714285714285,0.0444857142857142,0,unjammed
1000,725201757884584,0.7,0.6669714285714287,0.0699571428571428,0.075,0,unjammed
1000,184656659025018,0.7,0.6712,0.0469428571428571,0.0505,0,unjammed
1000,1034686135547599,0.7,0.7308857142857142,0.0352285714285714,0.0400428571428571,0,unjammed
1000,380972098894405,0.7,0.7975857142857143,0.0118714285714285,0.0128,0,unjammed
1000,742183958399040,0.7,0.664557142857143,0.0644857142857142,0.0679,0,unjammed
1000,37852570490343,0.7,0.764157142857143,0.0244285714285714,0.0264,0,unjammed
1000,734109262104827,0.7,0.6593571428571429,0.0568428571428571,0.0625714285714285,0,unjammed
1000,401686787590537,0.7,0.6051857142857143,0.0964142857142857,0.1048142857142857,0,unjammed
1000,350020380685320,0.7,0.7048285714285715,0.0422,0.0458142857142857,0,unjammed
1000,484612500106051,0.7,0.5356857142857143,0.1275428571428571,0.1407714285714285,0,unjammed
1000,604884003999171,0.7,0.6200285714285714,0.0868571428571428,0.0915857142857142,0,unjammed
1000,501697692195937,0.7,0.7058,0.0444571428571428,0.0483714285714285,0,unjammed
1000,851083349436041,0.7,0.5982000000000001,0.0939,0.1015142857142857,0,unjammed
1000,796940938751527,0.7,0.7589142857142855,0.0278714285714285,0.0302428571428571,0,unjammed
1000,7713914261614,0.7,0.5514428571428571,0.0755,0.0873,0,unjammed
1000,1099062448631258,0.75,0.6136714285714285,0.0872285714285714,0.0937285714285714,0,unjammed
1000,853827592514924,0.75,0.3747714285714285,0.2325285714285714,0.2631285714285714,0,unjammed
1000,1052030010736714,0.75,0.6070714285714285,0.0827142857142857,0.0909,0,unjammed
1000,993068073743470,0.75,0.5710571428571428,0.0915,0.0985,0,unjammed
1000,375074238073900,0.75,0.5190857142857142,0.1276142857142857,0.1453142857142857,0,unjammed
1000,416178520884477,0.75,0.4372999999999999,0.2079142857142857,0.2279571428571428,0,unjammed
1000,874051135843279,0.75,0.3693285714285714,0.2508571428571428,0.2797571428571428,0,unjammed
1000,12944511869278,0.75,0.5197571428571428,0.1229,0.1401285714285714,0,unjammed
1000,542029227742456,0.75,0.4747428571428571,0.1725714285714285,0.1871,0,unjammed
1000,1011744331896734,0.75,0.4135428571428571,0.1917857142857142,0.2150428571428571,0,unjammed
