N,seed,rho,f_elongated,f_binary,f_active,mean_aspect_ratio,s_max_norm,s_max_norm_2,n_clusters,state_label,state_name,state_id,nematic_elong,polar_elong,nematic_total,polar_total,s_max_elong,s_2max_elong,n_clusters_elong
1000,353918643079908.0,0.78,0.3876857142857142,0.1932000000000001,0.5808857142857142,1.851001428571429,0.2712428571428571,0.2937571428571429,21.38571428571429,0,Unjammed,0,0.2187666539980159,0.343739965044741,0.12853624687162826,0.2070957770612157,0.5287857142857143,0.016457142857142854,20.357142857142858
1000,971536625474344.0,0.78,0.461,0.1960714285714285,0.6570714285714285,1.9866099999999995,0.1663428571428571,0.1824142857142857,25.457142857142856,0,Unjammed,0,0.2518418282968738,0.4033854527772885,0.17851271470970786,0.2814607719626175,0.6080857142857143,0.01937142857142857,16.714285714285715
1000,799035771825238.0,0.78,0.3625714285714285,0.2000571428571428,0.5626285714285713,1.8130742857142848,0.2520714285714285,0.2900285714285714,22.02857142857143,0,Unjammed,0,0.16734108651173635,0.3097148487603122,0.09286346175973856,0.17180247299439755,0.4947,0.027885714285714285,20.9
1000,1114806189928891.0,0.78,0.4346142857142855,0.1906428571428571,0.6252571428571426,1.936511428571429,0.1776428571428571,0.2064571428571429,21.97142857142857,0,Unjammed,0,0.18975310762977884,0.42158635234105374,0.12190654409175121,0.26550817368383023,0.5706285714285714,0.023985714285714284,18.97142857142857
1000,216465895742590.0,0.78,0.3525714285714285,0.1816714285714285,0.534242857142857,1.7797314285714283,0.332,0.3563285714285714,20.3,0,Unjammed,0,0.12950039603885077,0.29022078289073944,0.07085006151658628,0.15756532040374993,0.4638,0.02562857142857143,21.37142857142857
1000,926435018171726.0,0.78,0.2737571428571427,0.1868285714285714,0.4605857142857141,1.6303514285714285,0.4303571428571427,0.4688142857142857,19.3,0,Unjammed,0,0.08901700305435743,0.15019125906441166,0.04153666798552968,0.07004358619643675,0.37502857142857143,0.027085714285714286,26.4
1000,744517311885370.0,0.78,0.2758571428571429,0.1993285714285714,0.4751857142857143,1.6477200000000003,0.3718428571428572,0.4392714285714285,21.485714285714284,0,Unjammed,0,0.16060739428874235,0.2952210520735253,0.07607110643539124,0.1384985718705209,0.3762,0.0349,27.771428571428572
1000,812580382463326.0,0.78,0.3427,0.1984,0.5411,1.7755000000000003,0.2886714285714286,0.33,21.928571428571427,0,Unjammed,0,0.1611176040646467,0.20041873250213244,0.08819261759626505,0.10610580694954537,0.47515714285714283,0.025342857142857143,20.82857142857143
1000,521742092743191.0,0.78,0.3413142857142858,0.1916428571428571,0.5329571428571429,1.7628157142857153,0.3240571428571429,0.3678285714285714,19.857142857142858,0,Unjammed,0,0.15386246726642763,0.2585671452276513,0.082007805221561,0.13543239985084318,0.4427857142857143,0.037885714285714286,22.1
1000,1008612444973162.0,0.78,0.3932714285714285,0.1783714285714285,0.571642857142857,1.854781428571429,0.2955571428571428,0.3229285714285714,17.957142857142856,0,Unjammed,0,0.22362760869763262,0.24658797777114866,0.12741900142718499,0.14054279880921286,0.5072142857142857,0.028685714285714287,18.7
1000,121838283310165.0,0.78,0.3504857142857143,0.1968999999999999,0.5473857142857141,1.790277142857143,0.2590571428571429,0.2900428571428571,22.84285714285714,0,Unjammed,0,0.12912781600677864,0.15585857998077968,0.07100004599713375,0.08625458955908605,0.4689285714285715,0.033528571428571435,21.285714285714285
1000,431006493426170.0,0.78,0.3065571428571429,0.1978571428571428,0.5044142857142857,1.6982357142857143,0.3571714285714286,0.3964142857142857,23.042857142857144,0,Unjammed,0,0.1324128722157704,0.16738739411335699,0.06670264172674926,0.084175204375615,0.43860000000000005,0.0228,22.414285714285715
1000,765322069857382.0,0.78,0.2757,0.2080857142857142,0.4837857142857142,1.6512171428571432,0.3603,0.4030428571428571,22.285714285714285,0,Unjammed,0,0.11567542117409906,0.189235079149414,0.05729144189159446,0.09286809861734262,0.39121428571428574,0.03145714285714286,25.071428571428573
1000,725201757884584.0,0.78,0.3567999999999999,0.1928857142857143,0.5496857142857142,1.798438571428571,0.3238428571428572,0.3464142857142857,19.985714285714284,0,Unjammed,0,0.13938537586355018,0.3828593489542542,0.0783608554716661,0.21506985094343806,0.4691428571428572,0.029585714285714285,22.9
1000,184656659025018.0,0.78,0.3553,0.1833,0.5386,1.7833957142857144,0.2909,0.3162857142857143,19.47142857142857,0,Unjammed,0,0.13528483175187211,0.2639963686033909,0.07246188433030014,0.1428595411960165,0.4759285714285714,0.02567142857142857,19.52857142857143
1000,1034686135547599.0,0.78,0.3701285714285713,0.2022571428571429,0.5723857142857143,1.8290114285714285,0.2529428571428571,0.2939,22.65714285714286,0,Unjammed,0,0.19263791369520944,0.37674552373859305,0.10997017501761178,0.21677361830236466,0.5053142857142857,0.027114285714285712,20.15714285714286
1000,380972098894405.0,0.78,0.6081857142857142,0.1668428571428571,0.7750285714285713,2.232147142857142,0.1064142857142857,0.1108714285714285,22.47142857142857,0,Unjammed,0,0.29445336143788015,0.6135852020147022,0.22877785004254103,0.4754529486735801,0.7359714285714285,0.017257142857142856,15.114285714285714
1000,742183958399040.0,0.78,0.3886857142857142,0.1975142857142856,0.5861999999999998,1.86102,0.2326,0.2667714285714285,21.37142857142857,0,Unjammed,0,0.17120522857635262,0.3552882021432895,0.1010379054461454,0.20720430704681161,0.5112285714285715,0.035614285714285716,19.742857142857144
1000,37852570490343.0,0.78,0.3555000000000001,0.1817285714285715,0.5372285714285716,1.7826642857142856,0.3004285714285714,0.3367428571428571,20.242857142857144,0,Unjammed,0,0.11709555554971404,0.2659481188653984,0.06214203909850911,0.14155518032360714,0.4670571428571429,0.02815714285714286,20.114285714285714
1000,734109262104827.0,0.78,0.4358000000000001,0.1996571428571428,0.6354571428571429,1.948834285714285,0.1772285714285714,0.2079857142857143,23.557142857142857,0,Unjammed,0,0.24285209877499195,0.36887248761734676,0.15263178737664412,0.23211680210968605,0.5875142857142858,0.020485714285714284,17.15714285714286
1000,401686787590537.0,0.78,0.2845,0.2063285714285714,0.4908285714285714,1.663837142857143,0.3427857142857143,0.3953142857142857,20.714285714285715,0,Unjammed,0,0.11561205117631765,0.1446108627658864,0.056633745605926274,0.07086220250300351,0.39230000000000004,0.040042857142857144,26.2
1000,350020380685320.0,0.78,0.2871857142857143,0.1997,0.4868857142857143,1.666551428571428,0.3716857142857143,0.4187714285714284,21.557142857142857,0,Unjammed,0,0.07815026573408529,0.19426552304177253,0.037761448686646715,0.09537457061404477,0.3885285714285714,0.03541428571428571,27.0
1000,484612500106051.0,0.78,0.2824142857142856,0.1996285714285715,0.4820428571428571,1.6578557142857144,0.4017857142857143,0.4344571428571429,21.928571428571427,0,Unjammed,0,0.10761261721977466,0.16913727609087775,0.051695234830202774,0.08126293999918825,0.38981428571428567,0.028657142857142857,26.32857142857143
1000,604884003999171.0,0.78,0.4660428571428571,0.187942857142857,0.6539857142857141,1.99961,0.2026428571428571,0.2135142857142857,20.985714285714284,0,Unjammed,0,0.2564703606605964,0.3758306267695332,0.16669970334560197,0.2451144182879885,0.6071857142857143,0.0169,18.285714285714285
1000,501697692195937.0,0.78,0.3874428571428572,0.1845,0.5719428571428572,1.8472071428571428,0.2789285714285714,0.3067142857142857,19.857142857142858,0,Unjammed,0,0.14880146064367641,0.26794689110568864,0.08943134294597689,0.15531716240403215,0.5065857142857143,0.025985714285714286,20.014285714285716
1000,851083349436041.0,0.78,0.3109285714285715,0.1836142857142857,0.4945428571428572,1.7001171428571429,0.3850571428571429,0.4197571428571429,20.228571428571428,0,Unjammed,0,0.09444541480040303,0.1680945041617239,0.047057222491856496,0.081020648133048,0.40471428571428575,0.03712857142857143,22.685714285714287
1000,796940938751527.0,0.78,0.332742857142857,0.1795,0.512242857142857,1.7400900000000004,0.3268,0.3691857142857143,17.65714285714286,0,Unjammed,0,0.1578608042278824,0.22863072978127869,0.0818712757047428,0.1169195461437277,0.4175857142857143,0.0402,21.87142857142857
1000,7713914261614.0,0.78,0.3697999999999999,0.1853142857142857,0.5551142857142857,1.816182857142857,0.2976857142857143,0.3287428571428571,19.17142857142857,0,Unjammed,0,0.18212787368715241,0.3113710981821955,0.1006913401795627,0.17211653787820191,0.47882857142857144,0.03527142857142857,19.614285714285714
2000,1099062448631258.0,0.5,0.8103500000000001,0.14205,0.9524,2.5712642857142853,0.0115571428571428,0.0119142857142857,27.242857142857144,0,Unjammed,0,0.14514994334554573,0.4654180798208819,0.1380161744756801,0.44190312691727374,0.8242714285714287,0.024242857142857142,101.97142857142858
2000,853827592514924.0,0.5,0.8676285714285714,0.09285,0.9604785714285714,2.5974035714285706,0.0090857142857142,0.0105357142857142,24.714285714285715,0,Unjammed,0,0.3509630309528549,0.6755001530604322,0.33682539301135295,0.6485842257924576,0.8357071428571429,0.020649999999999998,91.11428571428571
