step,N_round,MAX_round,2_MAX_round,N_elongated,MAX_elongated,2_MAX_elongated,N_round_2,MAX_round_2,2_MAX_round_2,N_elongated_2,MAX_elongated_2,2_MAX_elongated_2
7000,92.734375,1262.9375,60.953125,175.125,70.671875,25.859375,11.171875,1600.734375,10.84375,52.21875,212.4375,30.84375
7100,95.015625,1257.53125,53.703125,172.734375,80.09375,25.296875,11.71875,1592.421875,11.484375,52.421875,224.078125,27.71875
7200,92.546875,1270.640625,58.984375,179.359375,73.109375,27.828125,11.859375,1586.921875,10.96875,50.984375,217.9375,35.359375
7300,93.515625,1242.484375,59.671875,178.765625,75.140625,27.5625,12.1875,1582.890625,12.5,51.75,207.171875,44.296875
7400,91.1875,1249.859375,62.9375,177.046875,74.75,28.71875,11.640625,1590.984375,8.5625,52.78125,204.9375,39.96875
7500,90.1875,1301.3125,40.71875,177.03125,70.421875,26.0,11.78125,1592.59375,7.546875,52.65625,195.4375,45.421875
7600,88.328125,1292.34375,47.078125,176.078125,68.390625,26.984375,11.34375,1586.390625,10.765625,52.78125,201.09375,44.4375
7700,89.109375,1255.921875,62.703125,174.546875,75.421875,28.140625,11.25,1581.640625,15.078125,51.625,213.234375,36.515625
7800,90.28125,1272.15625,51.140625,177.0625,69.703125,27.875,12.0625,1583.65625,7.5625,52.375,219.078125,38.53125
7900,90.078125,1246.78125,54.765625,174.46875,70.390625,27.078125,11.90625,1579.515625,9.109375,51.140625,216.984375,39.046875
8000,89.1875,1259.53125,54.59375,174.140625,59.953125,30.421875,11.6875,1578.78125,10.109375,50.515625,210.125,47.671875
8100,87.171875,1236.578125,61.59375,176.109375,58.21875,30.21875,11.53125,1574.734375,10.265625,49.859375,210.4375,41.359375
8200,87.34375,1271.9375,44.09375,173.71875,66.625,31.0,12.015625,1574.59375,10.125,50.25,216.359375,46.890625
8300,86.125,1260.703125,48.46875,178.96875,63.828125,33.734375,11.5,1565.53125,12.875,51.890625,223.515625,47.328125
8400,85.78125,1261.515625,46.3125,178.703125,71.03125,32.140625,12.140625,1566.6875,10.65625,50.28125,233.78125,41.640625
8500,84.828125,1257.296875,58.1875,173.984375,67.5,36.140625,12.65625,1567.15625,10.71875,50.109375,223.59375,46.453125
8600,83.25,1236.109375,55.53125,178.53125,68.65625,35.25,12.296875,1563.421875,10.453125,51.484375,236.15625,41.625
8700,82.640625,1276.90625,45.125,177.703125,66.96875,32.25,12.359375,1566.265625,10.359375,51.859375,213.828125,48.484375
8800,83.28125,1281.953125,52.0,177.171875,71.25,32.578125,12.71875,1563.046875,11.890625,50.625,230.203125,44.375
8900,83.234375,1304.953125,40.53125,177.109375,73.921875,33.0625,12.71875,1558.390625,10.4375,49.890625,231.578125,47.6875
9000,79.46875,1274.421875,53.984375,175.890625,74.265625,35.46875,13.46875,1551.90625,14.71875,50.1875,244.375,47.203125
9100,80.15625,1272.984375,53.421875,178.828125,75.96875,34.4375,13.6875,1547.578125,13.78125,48.953125,243.078125,43.25
9200,79.578125,1280.5,44.34375,175.0625,80.09375,31.8125,13.328125,1548.40625,14.4375,51.75,229.84375,46.046875
9300,78.71875,1273.71875,52.59375,172.859375,80.375,33.390625,12.859375,1550.1875,14.875,49.234375,241.90625,44.640625
9400,81.90625,1265.90625,55.71875,174.453125,80.015625,31.96875,13.21875,1543.59375,18.0,50.375,243.109375,44.5625
9500,79.6875,1263.96875,53.390625,178.90625,71.453125,35.453125,12.96875,1548.4375,11.8125,49.203125,223.09375,56.140625
9600,80.40625,1271.515625,42.078125,176.65625,66.71875,38.3125,13.484375,1544.921875,12.71875,48.578125,231.921875,55.734375
9700,78.578125,1293.234375,44.34375,176.828125,68.484375,37.15625,13.1875,1544.78125,12.328125,47.421875,230.6875,59.953125
9800,77.578125,1288.328125,45.765625,176.015625,71.546875,35.609375,13.671875,1539.96875,12.46875,47.65625,239.625,47.671875
9900,78.796875,1285.390625,42.859375,175.484375,76.25,35.609375,13.546875,1539.609375,12.34375,47.5625,244.546875,51.15625
10000,73.796875,1287.390625,45.6875,176.859375,75.8125,36.796875,13.578125,1532.640625,14.59375,46.28125,249.15625,53.09375
10100,73.59375,1301.3125,37.265625,177.390625,66.84375,36.15625,13.609375,1530.9375,13.8125,47.3125,248.96875,56.28125
10200,74.6875,1289.890625,40.328125,179.84375,76.09375,34.859375,14.34375,1526.484375,14.640625,47.515625,253.546875,48.34375
10300,73.71875,1286.28125,39.78125,179.0625,84.84375,32.390625,14.015625,1527.484375,11.453125,48.46875,250.8125,53.234375
10400,73.53125,1299.0625,33.75,180.265625,84.890625,36.859375,14.71875,1522.953125,11.578125,47.109375,266.703125,45.171875
10500,73.0,1300.796875,41.3125,180.34375,80.15625,36.96875,14.484375,1520.703125,13.703125,46.984375,256.859375,52.609375
10600,72.6875,1283.78125,46.78125,183.546875,81.140625,35.765625,14.609375,1519.921875,12.5,47.84375,257.515625,54.296875
10700,70.90625,1299.75,40.65625,181.203125,80.15625,32.984375,15.1875,1521.9375,12.03125,46.921875,260.46875,55.203125
10800,69.078125,1307.703125,43.453125,178.3125,82.203125,36.21875,14.28125,1521.921875,13.59375,47.46875,267.25,48.203125
10900,68.28125,1299.234375,45.453125,178.203125,80.9375,32.953125,14.28125,1526.046875,10.40625,47.3125,244.21875,51.15625
11000,67.578125,1308.046875,43.390625,179.578125,83.34375,35.9375,14.125,1523.15625,10.421875,47.4375,255.421875,52.28125
11100,66.796875,1291.015625,50.125,178.59375,91.359375,37.71875,14.234375,1511.34375,17.828125,47.0,282.546875,39.09375
11200,67.015625,1299.234375,47.71875,183.5625,81.359375,39.5625,14.671875,1507.4375,13.5625,46.765625,281.296875,47.015625
11300,67.125,1297.875,47.0625,182.375,83.125,36.453125,15.734375,1500.84375,15.515625,46.375,262.65625,55.34375
11400,64.65625,1326.03125,33.359375,181.59375,88.203125,37.859375,14.625,1504.109375,14.96875,46.921875,279.5625,45.90625
11500,62.609375,1314.9375,40.625,181.234375,88.234375,35.65625,13.859375,1504.359375,16.765625,47.265625,263.234375,54.5625
11600,63.203125,1311.171875,44.203125,183.65625,93.09375,36.0,13.34375,1504.75,15.796875,47.71875,271.578125,56.640625
11700,63.265625,1330.984375,37.078125,182.859375,93.53125,33.71875,15.359375,1500.359375,16.015625,47.3125,259.921875,64.1875
11800,63.734375,1315.03125,44.234375,180.921875,95.140625,37.09375,15.171875,1502.40625,14.953125,46.4375,281.625,51.21875
11900,63.53125,1322.6875,32.890625,180.421875,86.765625,41.5,14.890625,1502.921875,11.796875,47.703125,264.828125,57.1875
12000,59.765625,1326.453125,39.25,179.640625,89.046875,39.828125,14.34375,1503.484375,12.1875,46.59375,261.046875,60.1875
12100,60.6875,1325.375,31.28125,181.796875,92.09375,41.234375,15.03125,1497.84375,11.875,46.75,286.046875,53.640625
12200,60.625,1315.375,40.796875,181.421875,93.34375,45.703125,15.375,1487.4375,15.34375,44.203125,281.296875,66.28125
12300,58.9375,1319.296875,43.21875,176.671875,104.046875,44.9375,15.734375,1485.6875,16.140625,44.765625,303.859375,53.40625
12400,58.609375,1305.140625,53.796875,177.484375,98.828125,48.015625,16.03125,1485.5625,13.5,44.234375,309.328125,50.78125
12500,58.25,1332.0625,29.703125,180.203125,95.765625,44.390625,15.921875,1480.578125,12.765625,44.234375,289.1875,66.546875
12600,58.5,1335.578125,36.0,178.140625,100.84375,46.0,15.765625,1477.140625,18.625,44.0,294.765625,55.875
12700,57.625,1334.984375,35.578125,178.359375,106.421875,46.984375,15.28125,1475.265625,16.984375,43.15625,307.671875,53.765625
12800,57.234375,1315.625,39.53125,174.328125,103.09375,47.796875,15.171875,1481.015625,13.34375,43.609375,301.21875,58.125
12900,58.921875,1290.171875,46.0,175.578125,102.296875,50.3125,15.484375,1471.296875,12.75,41.515625,318.53125,53.796875
13000,56.1875,1313.734375,42.046875,181.71875,97.625,48.375,15.703125,1454.5,24.796875,42.671875,312.328125,60.9375
